"Title: Distribution of the Total Population by Federal Poverty Level (above and below 200% FPL) | KFF"
"Timeframe: 2008 - 2023"
"Location","2008__Under 200%","2008__200%+","2008__Total","2009__Under 200%","2009__200%+","2009__Total","2010__Under 200%","2010__200%+","2010__Total","2011__Under 200%","2011__200%+","2011__Total","2012__Under 200%","2012__200%+","2012__Total","2013__Under 200%","2013__200%+","2013__Total","2014__Under 200%","2014__200%+","2014__Total","2015__Under 200%","2015__200%+","2015__Total","2016__Under 200%","2016__200%+","2016__Total","2017__Under 200%","2017__200%+","2017__Total","2018__Under 200%","2018__200%+","2018__Total","2019__Under 200%","2019__200%+","2019__Total","2021__Under 200%","2021__200%+","2021__Total","2022__Under 200%","2022__200%+","2022__Total","2023__Under 200%","2023__200%+","2023__Total",Footnotes
"United States","91347600","203922100","295269800","97421800","200575900","297997800","103423500","197382700","300806200","106362800","196717900","303080600","106949600","198427000","305376600","106758000","200747500","307505500","106087800","204124500","310212200","103127800","209650100","312777900","99900200","214566200","314466400","98125300","218897200","317022500","96825600","221672900","318498500","92396500","227000000","319000000","92541600","230634200","323175700","91882300","232603700","324486000","92036700","234041900","326078600","1"
"Ohio","3410700","7746800","11157500","3690500","7516600","11207100","3870600","7345000","11215700","3908200","7316400","11224600","3911300","7310800","11222100","3822600","7417100","11239600","3838100","7432200","11270300","3691700","7601600","11293300","3560700","7718000","11278700","3528200","7795300","11323500","3524500","7831400","11355900","3395200","7956400","11351500","3318400","8137300","11455700","3349800","8105800","11455600","3378500","8086100","11464600"
"Oklahoma","1303300","2205400","3508800","1358200","2185900","3544100","1427500","2208000","3635500","1467600","2197200","3664800","1464500","2225000","3689500","1469500","2257400","3726900","1411500","2338000","3749500","1413800","2369900","3783700","1403800","2397000","3800800","1427000","2376700","3803700","1367800","2448300","3816100","1352200","2474800","3826900","1375500","2483100","3858600","1384900","2497100","3881900","1383300","2534500","3917700"
"Oregon","1195600","2516300","3711900","1265000","2478600","3743600","1383800","2380200","3764000","1408000","2385500","3793500","1416400","2409100","3825500","1407000","2444600","3851600","1428400","2461200","3889600","1338300","2610400","3948700","1289100","2725500","4014500","1251900","2811100","4063000","1202600","2908200","4110800","1140100","2988700","4128900","1187300","2976100","4163500","1138700","3020800","4159500","1137200","3019200","4156400"
"Pennsylvania","3390500","8612200","12002700","3518100","8635400","12153500","3756400","8537300","12293700","3789500","8528800","12318300","3871200","8476400","12347600","3816400","8527800","12344300","3782400","8585600","12368000","3617500","8768900","12386400","3590300","8774400","12364700","3480100","8909000","12389100","3449500","8938500","12388100","3375300","9002300","12377600","3326200","9237800","12564000","3306100","9238300","12544400","3419300","9108500","12527800"
"Rhode Island","263900","745500","1009400","284000","727800","1011800","318100","691000","1009200","309300","698100","1007400","309600","698300","1007900","299800","708900","1008600","313100","700600","1013700","301200","713200","1014400","284300","729600","1013900","273300","742600","1015900","272500","741500","1014000","242300","774800","1017100","265400","784900","1050300","247700","801100","1048800","264300","788100","1052400"
"South Carolina","1557200","2761200","4318400","1670800","2722900","4393700","1779000","2697500","4476500","1854000","2665500","4519500","1855700","2713400","4569100","1844100","2772100","4616200","1846500","2827800","4674300","1774600","2959400","4734000","1715300","3090000","4805300","1745300","3119400","4864600","1741100","3188700","4929800","1634500","3349700","4984200","1651800","3388800","5040600","1623500","3493900","5117400","1662100","3542900","5205000"
"South Dakota","239000","531000","769900","264400","517000","781400","267200","519800","787000","247900","543400","791400","264700","535700","800400","274600","537000","811600","262300","559300","821600","254400","574600","829000","258500","577300","835800","245300","591700","837000","261800","586900","848700","243500","607800","851300","230400","633400","863800","242000","631400","873400","266800","622300","889100"
"Tennessee","2153500","3891700","6045200","2306600","3810000","6116600","2425700","3760500","6186200","2472000","3758500","6230500","2473600","3803800","6277400","2493300","3825400","6318700","2528200","3846600","6374800","2406400","4016300","6422800","2313300","4154500","6467700","2271100","4267100","6538200","2335300","4251200","6586400","2166500","4474400","6640900","2214900","4581200","6796100","2170200","4705700","6875900","2180500","4771400","6951900"
"Texas","8642200","15000800","23643000","9193300","14903600","24096900","9699900","14884500","24584400","9929400","15076800","25006100","9910600","15473700","25384300","9914000","15859000","25773000","9963700","16316300","26280100","9678600","17098900","26777500","9695500","17482900","27178300","9498100","18123200","27621300","9591800","18432200","28024000","9223400","19062800","28286200","9324600","19520700","28845300","9329700","19992800","29322500","9320500","20475000","29795500"
"Utah","758200","1928600","2686800","839700","1893700","2733400","911900","1812200","2724100","917600","1849900","2767500","939700","1862000","2801700","896100","1953300","2849400","889500","2002300","2891800","887500","2057700","2945200","828700","2170600","2999300","817200","2230200","3047400","797800","2308100","3105900","763100","2391000","3154100","772800","2509000","3281800","748600","2572900","3321500","773600","2584000","3357600"
"Vermont","157700","441400","599100","161500","438100","599600","183800","415600","599500","161300","438500","599800","181800","418900","600700","186900","415700","602700","178600","421400","6.00E+05","159000","443400","602400","164200","435400","599600","173500","426800","600200","157900","442700","600600","152600","445400","598100","151700","468000","619700","150300","474000","624300","143000","480500","623400"
"Virginia","1821900","5596500","7418400","1895300","5617500","7512800","2059100","5644800","7703800","2103400","5680300","7783700","2156500","5709000","7865500","2180200","5765500","7945700","2155200","5850800","8006000","2121800","5929400","8051200","2035400","6045500","8080900","2004700","6136000","8140700","2007100","6175000","8182100","1917700","6267300","8185100","1944300","6360700","8305000","1988500","6344300","8332800","2015700","6357300","8373000"
